,Real Location,Type,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Nearby Locations and Other Facilities,Amenities: Other Facilities
10,"Faisal Town Phase 1 - Block C, Faisal Town Phase 1",House,2.7,4,5.0,4,Faisal Town - F-18,"5 Marla FURNISHED HOUSE. Brand New House Available For Sale. In Faisal Town F-18 Block C Islamabad. House Dimension: 25*50. 4 Bedrooms. 4 Baths. 2 Drawing Dining. 2 TV Lounge. 2 Kitchen. 1 Car Parking Space. Near to Markaz. Near to Park. Near to Masjid. Electricity , Water and Available. Interested People Can Contact Easily. Faisal Town is a Good Society for Residence and Investment. Because Developed and Constructed Society. Masjid , Markaz , Bank , Schools , Hospital Available. Transparent Dealing. MBM Real Estate & Builders Interested People Can Contact Easily.","Parking Spaces: 1, Flooring, Floors: 2","Bedrooms: 4, Bathrooms: 4, Drawing Room, Dining Room, Kitchens: 2, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled"
11,"G-13, Islamabad",House,3.65,4,4.0,4,G-13,*G-13* Islamabad G-13 Islamabad 25*40 Brand New House available for sale Tiles flooring Heighted location Beautiful constructed house Double Story House 4 Beds attached bath 2 Tv laundge Top flour servant room with attached bath 2 kitchen separate 1 Car parking space Bore available Demand 4.15 For more details,"Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Security Staff, Other Facilities"
12,"MPCHS - Block F, MPCHS - Multi Gardens",House,2.45,5,5.0,4,B-17,"5 Marla Double Unit House Available. For sale House b-17 Islamabd. House Size 30*60. Luxury house A+ construction Double Story. Double Unit. Near to masque 4 Bedrooms. 6 Baths. 2 Drawing Dining. 2 Kitchen. 2 Study Rooms. Mumty + Washroom. Car Parking Space. Gas, Water Available Water Bore. Double Unit Investor Rate Ideal Location. Reasonable Price. proper corner House B-17 is a Good Society for Residence. Because Neat and Clean. 24 Hours Security. All Basic and Necessary Facilities Available. Interested People Can Contact Easily.","Built in year: 2005, Parking Spaces: 2, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal",,"Broadband Internet Access, Satellite or Cable TV Ready","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre",,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places",
13,"MPCHS - Multi Gardens, B-17",House,2.3,-,5.0,-,B-17,"5 Marla Double Unit House Available. For Rent in B-17 Islamabd. House Size 26*50 Luxury house A+ construction Double Story. Double Unit. Near to masque 4 Bedrooms. 6 Baths. 2 Drawing Dining. 2 Kitchen. 2 Study Rooms. Mumty + Washroom. Car Parking Space. Gas, Water Available Water Bore. Double Unit Investor Rate Ideal Location. Reasonable Price. 23000000 proper corner B-17 is a Good Society for Residence. Because Neat and Clean. 24 Hours Security. All Basic and Necessary Facilities Available. Interested People Can Contact Easily.","Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff"
14,"Jinnah Gardens, FECHS",House,3.1,7,7.0,5,FECHS,Jinah Garden 7 Marla Lop Clear House For Sale Upper Portion Is Fully Furnished Soller Install Reasonable Price Ground Floor rent Out 50 K,"Built in year: 2018, Parking Spaces, Flooring, Floors, Furnished","Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Store Rooms: 1, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready","Community Lawn or Garden, Community Swimming Pool, Community Gym, Mosque, Community Centre",,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Nearby Public Transport Service, Other Nearby Places",Security Staff
15,"Cube Apartments, Bahria Enclave",Flat,1.04,2,5.0,1,Bahria Town,Cube Apartment One Bedroom Apartment Beautiful Terrace View Car Parking Peaceful Environment Attractive and Splendid Views All Living Facilities and Amenities are Available Secure Living Standards 24 7 Power Supply and Many More Come and avail this opportunity because all basic requirements are available at your door step Contact us for More Details,"Built in year: 2022, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 2, Floors in Building: 10, Elevators: 4, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 1, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Pets Allowed, Other Facilities"
16,"Bahria Enclave - Sector H, Bahria Enclave",House,2.5,4,5.0,4,Bahria Town,"Designer House for Sale Sector H, Bahria Enclave Islamabad A stylish 4-bedroom designer house is available for sale in the highly sought-after Sector H of Bahria Enclave Islamabad. This home blends comfort, elegance, and modern living in one of the citys most prestigious communities. Property Features: 3 spacious bedrooms with attached baths Comfortable TV lounge for family gatherings Elegant drawing room Servant room for added convenience Quality construction with a contemporary design Location Highlights: Sector H offers an ideal living environment with easy access to all modern amenities. Bahria Enclave is known for: Secure gated community with 24/7 surveillance Wide carpeted roads & underground utilities Proximity to schools, hospitals, and shopping centers Beautiful parks, mosques, and community spaces Breathtaking views of the Margalla Hills Demand: Just 2.50 Crore PKR very reasonable for such a prime location. Bahria Enclave is one of Islamabads finest residential projects, offering a peaceful lifestyle surrounded by modern infrastructure, clean environment, and a vibrant community. For more details, please contact: (Rana Ehtisham)","Built in year: 2025, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
17,"The Centaurus, F-8",Flat,5.75,1,3.9,1,F-8,"Note: Dealers and intermediaries are requested not to contact. This property is available only for direct buyers or genuine end users. Only serious inquiries will be entertained. Demand Pkr. 57,500,000/- Area: 882 SQ. FT. Beautiful View of Islamabad Lush Greenery Fully Furnished Rental value: PKR. 280,000 to PKR 300,000 per Month Facilities Include. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Socker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Upto 9.5 On Rector Scale International Construction Company Ranked Number 12 In International Ranking World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.","Parking Spaces: 1, Lobby in Building, Central Air Conditioning, Flooring, Electricity Backup, Waste Disposal, Furnished","Bedrooms: 1, Bathrooms: 1, Drawing Room, Dining Room, Kitchens: 1, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Kids Play Area, Mosque, Community Centre","Sauna, Jacuzzi","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Facilities for Disabled, Pets Not Allowed, Other Facilities"
18,"D-17, Islamabad",House,1.4,3,3.0,3,D-17,"3 Marla House Available. For Sale in D-17. In Block D Islamabad. 3 Bedrooms. 3 Baths. TV lounge . Kitchen. All Facilities Available. You simply cannot say no to this House. Better yet, it comes with tonnes of exciting features that distinguish it from other properties. If you are looking for lucrative property options for investment, we think this property might just be the right one. The number of 675 Square Feet options in the D-17 can be limited, so hurry up. At a price of Rs. 10000000 such a deal may be hard to come again. Filled with optimum potential, the location of D-17 is sure to become a hotspot in near future. Looking for real estate options in D-17? We are here to suggest the most excellent neighborhoods. Contact us now, and our representatives will give you all the details you need.","Built in year, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
19,"Gulberg Greens, Gulberg",Flat,1.15,1,2.4,1,Gulberg,"ghousing societies in Rawalpindi and Islamabad, But the beautiful location of Gulberg Islamabad is as beautiful as Islamabad . It is just 15 minutes drive from gulberg to other parts of Islamabad ,and 10 minutes drive towards airport and 5 minutes drive to G. T road . Gulberg green and Gulberg residential were a beautiful dreams that becomes now a reality. In Gulberg knowledge village there are many schools, colleges and universities which are under constructions. 5 star hotels ,shopping malls are also under construction Gulberg Islamabad is a place, where yours dreams become true. The project was launched in 2005 and in 2009 its NOC from CDA was approved with Ref# CDA/PLW-HS(127)/2009/257. The MOU with IESCO and SNGPL were also duly signed. Development work Guon the project started in 2009.","Built in year: 2022, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building: 7, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 1, Bathrooms: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Allowed, Other Facilities"
20,"CBR Town Phase 1 - Block D, CBR Town Phase 1",House,3.3,6,7.0,5,CBR Town,7 MARLA BRAND NEW DOUBLE STORY HOUSE FOR SALE IN CBR TOWN BLOCK-D DESIGNER HOUSE SOLID CONSTRUCTION BEST MATERIAL Dimension 30x60 04 bedrooms with attached washroom 02 drawing rooms with washroom 02 kitchens 02 tv lounge 02 car parking Servant quarter with bath Laundry Mumaty Terrace 01 electricity meters Sui Gas meter demand notice submitted Water supply Solid construction Very Reasonable Price Demand: 2.80 Near to park Near to highway FOR FURTHER DETAILS CONTACT US ABBAS ENTERPRISES,"Built in year: 2022, Parking Spaces: 2, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Furnished","Bedrooms: 4, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre",Lawn or Garden,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities"
21,"Soan Garden - Block H, Soan Garden",House,2.9,6,6.0,5,Soan Garden,"6 MARLA DOUBLE STORY HOUSE FOR SALE 2 KM DISTANCE TO EXPRESS WAY CARPET STREET H EXT BLOCK 30x50 DIMENSION 4 BEDROOM ATTACHED BATHROOM 2 TV LOUNGE 2 DRAWING ROOM WITH BATH 2 KITCHEN SARVENT WITH BATH 2 SEPARATE WATER TANK OVERHEAD & UNDERGROUND WITHOUT GAS 2 ELECTRIC METER NEAR TO MASJID, HIGHWAY, MARKET DEMAND 2.90","Built in year: 2024, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
22,"DHA Defence Phase 2, DHA Defence",House,8.8,6,20.0,6,DHA Defence,VIP Properties Offer Variety Of Houses Available In DHA 2. *Independent 2 Portions *2 D/Dining 2 TV Lounge 2 Kitchen 2 Servant Quarter Ideal Land Scaping,"Built in year: 2025, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 6, Bathrooms: 7, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
23,"D-12/3, D-12",House,4.25,4,4.0,4,D-12,"CDA sector D-12/3(25*40)=4-marla 4-bed room double story al most brand new house for sale. This remarkable property offers an affordable opportunity for those who are looking to purchase a beautiful house in CDA sector d-12 . Stylish 4 Marla Double-Story Home in Prime D-12/3 Location! Live in the heart of Islamabads most sought-after CDA sectorD-12/3! This beautiful 4-bedroom, double-story home sits on a 25x40 (4 marla) plot in Street 32, just steps away from D-12 Markaz. Perfectly positioned second to corner and Margalla-facing, the home offers stunning views and unbeatable convenience. Located right off a main major road. Ideal for home owners seeking a peaceful yet central location, this property is a rare opportunity in one of Islamabad's most prestigious sectors. Features You'll Love: 4 spacious bedrooms Great fittings throughout All utilities available: CDA water, bore water, gas & electricity Move-in readyjust bring your bags!","Built in year: 2019, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
24,"E-7, Islamabad",House,75.0,7,32.0,6,E-7,"Chohan HAY Estate Offers: - E-7 Brand New House - Basement, Ground, and Upper Floor - 6 Bedrooms with Modern Attached Bathrooms - Drawing, Dining, and TV Lounge - High-quality Finishes, Enriching Interiors, and Family Rooms with Walk-in Closets - Elegant Modern Kitchens with Quartz Countertops, Cabinetry, and Appliances (Refrigerator, Garbage Disposal, Microwave) - Luxurious Bathrooms with Roman Showers, Separate Shower Cabins, Vanities, and Premium Fixtures - Enjoyable Swimming Pool - Elevator Lift - Ceiling Roof - Flooring with Imported Tiles - Outdoor Lawn - Servant Quarters - Parking Area - Rooftop - Views of Margalla Hills and Sunset - Serene and Highly Secure Living Environment - An Outstanding Opportunity: Seize It Without Delay For Further Details and Additional Choices, Feel Free to Contact the Provided Numbers or Visit Chohan HAY Estate.","Built in year: 2025, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features","Bedrooms: 6, Bathrooms: 7, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
25,"G-11, Islamabad",House,16.5,6,20.0,6,G-11,"Prime Location New Double Storey House Is Available For Sale In G-11 Islamabad 50 Feet Wide Road 6 Bedroom With Attached Bath 2 TV Lounges 2 Kitchen 2 Drawing Dining With Powder 2 Servant 2 Car Parking Space Gym Room Fully Till Flooring Ideal And Peace Full Location Nice House 50 Fet Street Near By Park, Masjid, School, Hospital, Market Beautiful Margalla View More Details Please Contact Us","Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
26,"Naval Anchorage, Islamabad",House,6.9,6,14.0,8,Naval Anchorage,"Naval Anchorage is full of real estate investment opportunities, so stop waiting and start investing! Owning a home in Naval Anchorage is favorable from all aspects, so what are you waiting for. All your dreams can come true with the House which is available for sale now. If you want to buy a property then don't miss out on this opportunity. Trust us, you'd be hard-pressed to find a similar property offer that falls near this Rs. 69000000 price range. Searching for 14 Marla sized properties? You have come to the right place. The following property features will tell you what makes it special. Keep in touch with your friends and family with broadband internet access. This house comes complete with a dedicated drawing room, letting you entertain guests easily. On-duty security services ensure the building stays well-protected. Not all families need a separate dining parlour but this property has one, in case you like to make mealtimes special. For details and booking information, don't hesitate to get in touch with us.","Built in year: 2025, Parking Spaces: 6, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 8, Bathrooms: 8, Servant Quarters, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
27,"CBR Town Phase 1 - Block C, CBR Town Phase 1",House,6.3,6,12.0,7,CBR Town,"*Brand New Designer 12Marla House for Sale CBR TOWN PHASE 1 *Property Details:* * Prime Location: * Plot Size: *12 Marla (Fully Constructed)* * *8 Spacious Bedrooms** * *8 Modern Bathrooms* * *TV Lounge & Drawing * *Bore Installed* * *Beautiful Designer Construction* * DEMAND :630 Ideal for luxury living or investment a perfect blend of comfort, elegance, and prime location. .","Built in year: 2025, Parking Spaces: 3, Flooring","Bedrooms: 6, Bathrooms: 8, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Powder Room, Store Rooms: 2, Lounge or Sitting Room, Laundry Room, Other Rooms",Broadband Internet Access,Community Lawn or Garden,Lawn or Garden,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities"
